,hashed_feedback_id,hashed_user_id,event_date,hashed_order_id,is_negative
5131,FB1297_0_9663,1297,2025-02-02,O1297_0_9212,False
5186,FB1314_0_1683,1314,2025-02-18,O1314_0_4709,True
5569,FB1412_0_7449,1412,2025-01-29,O1412_0_9192,False
5583,FB1414_0_2833,1414,2025-01-09,O1414_0_9532,True
5743,FB1464_0_2160,1464,2025-02-12,O1464_0_4874,True
5754,FB1466_0_8689,1466,2025-01-21,O1466_0_1026,False
5801,FB1481_0_8736,1481,2025-02-13,O1481_0_8156,True
6488,FB1658_0_4160,1658,2025-01-13,O1658_0_6458,False
7297,FB1880_0_2070,1880,2025-01-22,O1880_0_5870,False
7318,FB1886_0_4680,1886,2025-01-10,O1886_0_7900,False
7469,FB1927_1_7714,1927,2025-02-27,O1927_1_2350,True
7881,FB2032_0_6032,2032,2025-02-21,O2032_0_6725,False
7925,FB2045_0_5237,2045,2025-02-10,O2045_0_8087,False
8027,FB2072_0_2143,2072,2025-02-16,O2072_0_4488,True
8323,FB2143_0_7287,2143,2025-02-17,O2143_0_4443,False
8787,FB2271_1_9924,2271,2025-01-22,O2271_1_8062,False
9166,FB2374_0_6675,2374,2025-02-01,O2374_0_3209,False
9173,FB2376_0_5553,2376,2025-01-28,O2376_0_6001,True
9182,FB2378_0_5979,2378,2025-02-13,O2378_0_8297,True
9332,FB2419_0_3789,2419,2025-02-04,O2419_0_2248,False
9655,FB2503_1_9481,2503,2025-02-25,O2503_1_8352,True
9844,FB2552_0_8095,2552,2025-02-23,O2552_0_9577,False
10032,FB2600_0_3823,2600,2025-02-10,O2600_0_7747,False
10145,FB2627_0_4035,2627,2025-01-27,O2627_0_8227,True
10167,FB2632_0_5243,2632,2025-02-24,O2632_0_8517,False
10314,FB2671_0_7887,2671,2025-02-16,O2671_0_2571,False
10460,FB2707_0_4536,2707,2025-01-26,O2707_0_8561,False
10566,FB2739_0_3253,2739,2025-01-02,O2739_0_1234,True
11122,FB2885_0_4380,2885,2025-01-26,O2885_0_1512,False
11343,FB2946_0_2053,2946,2025-02-18,O2946_0_8172,False
11488,FB2988_0_3166,2988,2025-02-20,O2988_0_8615,False
11502,FB2992_0_5656,2992,2025-02-05,O2992_0_4179,False
11629,FB3023_0_9125,3023,2025-01-22,O3023_0_8221,True
11737,FB3056_0_9403,3056,2025-02-15,O3056_0_9011,False
11861,FB3089_0_3585,3089,2025-02-06,O3089_0_2045,False
12082,FB3156_0_5752,3156,2025-02-21,O3156_0_3558,False
12477,FB3250_0_6195,3250,2025-02-23,O3250_0_5302,False
12500,FB3254_0_3221,3254,2025-01-01,O3254_0_8051,False
12511,FB3257_0_2827,3257,2025-02-19,O3257_0_7298,True
12718,FB3317_0_8686,3317,2025-01-10,O3317_0_2383,True
12891,FB3361_0_1303,3361,2025-01-09,O3361_0_5029,False
13598,FB3561_0_3275,3561,2025-01-09,O3561_0_6408,False
13657,FB3579_0_5607,3579,2025-02-18,O3579_0_7052,False
13973,FB3659_0_8685,3659,2025-02-07,O3659_0_5834,False
14032,FB3673_0_1212,3673,2025-01-03,O3673_0_2151,True
14196,FB3723_0_9971,3723,2025-02-17,O3723_0_8786,False
14231,FB3734_0_6476,3734,2025-02-02,O3734_0_1173,False
14509,FB3816_0_1142,3816,2025-02-02,O3816_0_5448,False
14681,FB3862_0_6947,3862,2025-02-17,O3862_0_8158,True
14687,FB3862_1_8203,3862,2025-02-24,O3862_1_3190,True
14698,FB3865_0_7161,3865,2025-02-22,O3865_0_1316,False
14726,FB3870_0_9005,3870,2025-01-23,O3870_0_2046,False
14803,FB3890_0_7358,3890,2025-02-03,O3890_0_7807,False
14894,FB3915_0_2124,3915,2025-02-13,O3915_0_3948,False
15122,FB3969_0_1550,3969,2025-01-15,O3969_0_2308,False
15377,FB4037_0_5318,4037,2025-01-23,O4037_0_4407,True
15452,FB4056_0_1259,4056,2025-02-09,O4056_0_3680,True
16515,FB4359_0_9466,4359,2025-01-11,O4359_0_3799,True
16642,FB4393_0_4083,4393,2025-01-15,O4393_0_4019,False
16899,FB4461_0_6537,4461,2025-02-21,O4461_0_9678,True
16940,FB4471_1_1337,4471,2025-01-11,O4471_1_3118,False
17190,FB4531_0_3549,4531,2025-02-13,O4531_0_3317,False
17327,FB4563_0_3388,4563,2025-02-22,O4563_0_8790,True
17437,FB4593_0_9623,4593,2025-01-05,O4593_0_7961,False
17469,FB4599_1_1984,4599,2025-02-17,O4599_1_9366,True
17491,FB4603_0_8330,4603,2025-02-22,O4603_0_8110,False
18254,FB4824_0_9133,4824,2025-01-14,O4824_0_1870,False
18347,FB4850_0_6676,4850,2025-01-03,O4850_0_9575,False
18361,,4852,2025-02-15,O4852_0_5431,False
18530,FB4902_0_1018,4902,2025-02-01,O4902_0_8195,False
19302,FB5108_0_1119,5108,2025-01-09,,False
19309,,5110,2025-02-21,,
19490,FB5159_0_1384,5159,2025-02-23,O5159_0_5588,True
19885,FB5261_0_4045,5261,2025-02-28,O5261_0_9965,False
20233,FB5347_0_4598,5347,2025-02-12,O5347_0_4387,False
20324,FB5372_0_5982,5372,2025-02-28,O5372_0_3365,False
20482,FB5417_0_3117,5417,2025-01-02,,False
20756,FB5488_0_1155,5488,2025-01-06,O5488_0_1525,False
20832,FB5506_0_2768,5506,2025-01-23,O5506_0_7876,False
21196,FB5602_0_3047,5602,2025-02-11,O5602_0_5766,False
21466,FB5680_0_8796,5680,2025-01-14,O5680_0_4905,True
21647,FB5729_0_4034,5729,2025-01-14,O5729_0_8266,True
21819,FB5775_1_7365,5775,2025-02-17,O5775_1_4859,True
21838,FB5780_0_1286,5780,2025-01-23,O5780_0_2475,False
22059,FB5838_0_1636,5838,2025-01-19,O5838_0_8897,True
22085,FB5844_0_8943,5844,2025-02-19,O5844_0_1630,False
22164,FB5871_0_4087,5871,2025-02-06,O5871_0_3486,False
22458,FB5951_0_8380,5951,2025-01-29,O5951_0_3052,False
22963,FB6097_0_9618,6097,2025-01-28,O6097_0_6762,False
23424,,6222,2025-02-22,O6222_0_5226,False
23543,FB6249_0_5896,6249,2025-02-13,O6249_0_6915,False
23849,FB6326_0_6266,6326,2025-01-16,O6326_0_3684,False
23930,FB6346_0_6065,6346,2025-02-02,,False
24228,FB6419_0_1538,6419,2025-01-04,O6419_0_3687,True
24307,FB6444_0_7739,6444,2025-01-04,O6444_0_5011,True
24379,FB6464_0_1720,6464,2025-01-20,O6464_0_5593,False
24812,FB6574_0_1865,6574,2025-02-09,O6574_0_2813,False
25264,FB6692_0_2014,6692,2025-01-23,O6692_0_2278,False
25597,FB6779_0_2185,6779,2025-02-07,O6779_0_5574,False
25841,FB6842_0_8260,6842,2025-01-31,O6842_0_4435,False
25948,FB6871_0_1728,6871,2025-01-24,O6871_0_9358,True
26114,FB6915_1_5828,6915,2025-02-27,O6915_1_2213,True
26327,FB6971_1_7566,6971,2025-02-27,O6971_1_8362,False
26954,FB7152_0_6230,7152,2025-02-21,O7152_0_2508,False
27063,FB7181_0_6178,7181,2025-01-01,O7181_0_3041,False
27668,FB7339_0_7655,7339,2025-02-01,O7339_0_4458,False
27860,,7396,2025-02-12,,
27941,FB7420_0_2703,7420,2025-02-09,O7420_0_7189,False
28427,FB7551_0_6300,7551,2025-01-27,O7551_0_2000,False
28465,FB7561_0_1701,7561,2025-01-02,O7561_0_4519,False
28488,FB7566_0_7008,7566,2025-01-26,O7566_0_1675,False
28517,FB7571_1_1724,7571,2025-02-10,O7571_1_1498,False
28656,FB7608_0_3607,7608,2025-01-29,O7608_0_7651,False
28945,FB7690_0_1899,7690,2025-01-01,O7690_0_3869,False
29028,FB7714_0_8039,7714,2025-01-03,O7714_0_1948,False
29298,FB7802_0_6507,7802,2025-02-16,O7802_0_6492,False
29614,FB7894_0_4798,7894,2025-02-16,O7894_0_1408,False
29626,FB7898_0_1450,7898,2025-01-01,O7898_0_2005,True
29721,FB7924_0_3368,7924,2025-01-28,O7924_0_6338,False
29919,FB7986_0_6770,7986,2025-01-21,O7986_0_9305,False
29952,FB7991_0_2180,7991,2025-01-23,O7991_0_7482,False
30001,FB8002_0_5014,8002,2025-01-08,O8002_0_6711,True
30309,FB8078_0_5931,8078,2025-02-24,,False
30531,FB8133_0_4136,8133,2025-01-02,O8133_0_2421,False
30537,FB8134_0_7601,8134,2025-02-11,O8134_0_2786,False
30629,FB8158_0_5193,8158,2025-02-15,O8158_0_4555,False
30638,FB8161_0_9385,8161,2025-02-27,O8161_0_1063,True
30841,FB8211_0_4401,8211,2025-01-01,O8211_0_1563,False
30976,FB8243_0_6708,8243,2025-02-26,O8243_0_5792,False
31272,FB8326_0_1731,8326,2025-02-23,O8326_0_6023,False
31474,FB8378_0_2847,8378,2025-02-03,O8378_0_1949,False
32006,FB8521_0_3568,8521,2025-01-29,O8521_0_2669,False
32089,FB8541_0_1060,8541,2025-01-10,O8541_0_5938,False
32123,FB8548_0_3566,8548,2025-01-08,O8548_0_4200,False
32225,FB8573_0_5288,8573,2025-02-01,O8573_0_6890,True
32744,FB8711_0_8730,8711,2025-02-19,O8711_0_4979,False
32958,FB8767_0_5029,8767,2025-02-02,O8767_0_8956,False
32979,FB8772_0_1902,8772,2025-01-26,O8772_0_2556,False
33029,FB8783_0_3276,8783,2025-02-05,O8783_0_5804,False
33040,FB8787_0_3123,8787,2025-02-04,O8787_0_9619,True
33080,FB8798_0_2192,8798,2025-01-27,O8798_0_5646,False
33525,FB8909_0_4699,8909,2025-01-14,O8909_0_7337,False
33660,FB8945_0_7840,8945,2025-02-15,O8945_0_4584,True
33756,FB8972_0_3484,8972,2025-02-15,O8972_0_4301,True
33847,FB8997_0_8060,8997,2025-02-17,O8997_0_7594,True
34774,FB9278_0_1935,9278,2025-02-26,O9278_0_5903,False
34839,FB9302_0_9879,9302,2025-02-12,O9302_0_7096,False
34918,FB9325_0_1301,9325,2025-02-01,O9325_0_4480,False
35605,FB9500_0_8356,9500,2025-02-02,O9500_0_3638,False
35729,FB9526_0_1267,9526,2025-02-26,O9526_0_5277,False
35781,FB9543_0_9719,9543,2025-02-02,O9543_0_1194,False
35822,FB9551_0_1134,9551,2025-01-14,O9551_0_4811,False
36091,FB9622_1_3818,9622,2025-01-31,O9622_1_7118,True
36191,FB9652_0_5404,9652,2025-01-31,O9652_0_1811,False
36508,FB9728_0_8291,9728,2025-01-19,O9728_0_3136,False
36572,FB9744_0_8132,9744,2025-01-19,O9744_0_9709,True
36732,FB9782_0_1124,9782,2025-02-05,O9782_0_1612,False
36812,FB9799_0_7570,9799,2025-01-12,O9799_0_6812,False
37283,FB9933_0_9300,9933,2025-01-28,O9933_0_6016,True
37615,FB10027_0_8935,10027,2025-02-14,O10027_0_7369,False
37684,,10047,2025-01-07,O10047_0_9400,False
38205,FB10191_0_7609,10191,2025-02-12,O10191_0_7960,False
38211,FB10192_0_7879,10192,2025-02-24,O10192_0_9182,False
38221,FB10197_0_5624,10197,2025-02-20,O10197_0_9486,True
38259,FB10205_0_3199,10205,2025-02-21,O10205_0_2738,True
38337,FB10227_0_7236,10227,2025-01-09,O10227_0_1266,False
38636,FB10302_0_2666,10302,2025-01-13,O10302_0_7207,False
38926,FB10386_0_7291,10386,2025-02-28,O10386_0_9468,False
39613,FB10577_0_3574,10577,2025-02-16,O10577_0_5435,False
39628,FB10580_0_8579,10580,2025-02-11,O10580_0_8259,False
39745,FB10610_1_6375,10610,2025-02-22,O10610_1_4782,False
39953,FB10663_0_9255,10663,2025-02-26,O10663_0_9892,False
39990,FB10672_0_8317,10672,2025-02-09,O10672_0_2269,False
40037,FB10684_0_3483,10684,2025-01-07,O10684_0_6535,True
40119,FB10710_0_2205,10710,2025-02-17,O10710_0_1922,False
40372,FB10779_0_9154,10779,2025-02-20,O10779_0_2657,False
40433,FB10793_0_3017,10793,2025-01-26,O10793_0_1889,False
40751,FB10887_0_2640,10887,2025-02-02,O10887_0_9069,False
40848,FB10915_0_4181,10915,2025-02-16,O10915_0_3995,False
41171,FB11000_0_7410,11000,2025-01-15,O11000_0_5756,False
41265,FB11027_0_3823,11027,2025-01-23,O11027_0_8875,True
41482,FB11080_0_3867,11080,2025-01-25,O11080_0_5002,False
41599,FB11111_0_2516,11111,2025-01-06,O11111_0_1676,True
41609,FB11113_0_6630,11113,2025-01-29,O11113_0_9266,True
41793,FB11163_0_6583,11163,2025-02-23,O11163_0_6578,False
41928,FB11203_0_9467,11203,2025-02-04,O11203_0_6357,False
42019,FB11230_0_2978,11230,2025-02-24,O11230_0_8301,False
42206,FB11280_0_6146,11280,2025-02-10,O11280_0_6613,False
42376,FB11329_0_8765,11329,2025-01-11,O11329_0_7968,False
42426,FB11339_0_5543,11339,2025-01-22,O11339_0_3187,False
42643,FB11396_1_3874,11396,2025-02-11,O11396_1_5602,False
43327,FB11586_1_4926,11586,2025-02-08,O11586_1_7310,False
43884,FB11736_1_4041,11736,2025-01-28,O11736_1_2694,False
44023,FB11775_0_9254,11775,2025-02-11,O11775_0_4037,False
44070,FB11785_0_3803,11785,2025-02-17,O11785_0_2622,True
44137,FB11801_0_9046,11801,2025-01-02,O11801_0_9639,False
44466,FB11893_1_7169,11893,2025-01-18,O11893_1_3556,False
44503,FB11902_0_6603,11902,2025-02-17,O11902_0_9958,False
44774,FB11981_1_9912,11981,2025-01-08,O11981_1_4335,False
44780,FB11982_0_2602,11982,2025-02-06,O11982_0_9095,False
45167,FB12083_0_2630,12083,2025-01-12,O12083_0_5752,False
45426,FB12149_0_8414,12149,2025-02-21,O12149_0_2753,False
45490,FB12167_0_2931,12167,2025-01-10,O12167_0_3519,False
45548,FB12181_0_4054,12181,2025-02-21,O12181_0_1208,False
45589,FB12189_0_6150,12189,2025-02-22,O12189_0_7258,False
45697,FB12220_0_1307,12220,2025-01-16,O12220_0_9357,False
45804,FB12251_0_7908,12251,2025-02-14,O12251_0_4329,True
46346,FB12403_0_2209,12403,2025-01-04,O12403_0_8493,True
46632,FB12480_0_1600,12480,2025-02-06,O12480_0_2502,False
46684,FB12492_0_8666,12492,2025-02-11,O12492_0_3927,False
47350,FB12667_1_1040,12667,2025-01-23,O12667_1_7872,False
47411,FB12679_0_1364,12679,2025-01-10,O12679_0_4480,False
48201,FB12901_0_2102,12901,2025-02-28,O12901_0_4463,True
48273,FB12918_0_2370,12918,2025-02-11,O12918_0_1332,False
48367,FB12939_0_8885,12939,2025-01-04,O12939_0_5767,True
48616,FB13009_0_3980,13009,2025-01-04,O13009_0_6971,False
48957,FB13102_0_8275,13102,2025-02-16,O13102_0_5370,False
48992,FB13110_0_5702,13110,2025-01-26,O13110_0_3524,False
49086,FB13135_1_5634,13135,2025-01-10,O13135_1_5837,False
49125,FB13145_0_5837,13145,2025-02-13,O13145_0_9969,False
49156,FB13151_0_2695,13151,2025-02-28,O13151_0_6328,False
49299,FB13194_0_5375,13194,2025-02-08,O13194_0_1997,False
49516,FB13247_0_3521,13247,2025-01-27,O13247_0_2293,False
49628,,13273,2025-02-09,,
49853,FB13341_0_6775,13341,2025-01-23,O13341_0_7247,False
50359,FB13479_0_5017,13479,2025-01-07,O13479_0_9261,True
50412,FB13496_0_1637,13496,2025-02-22,O13496_0_8347,False
50623,FB13545_0_2851,13545,2025-02-16,O13545_0_9677,True
50754,FB13581_0_8841,13581,2025-01-04,O13581_0_6460,False
50898,FB13623_0_6965,13623,2025-01-02,O13623_0_8725,False
50984,FB13640_0_9179,13640,2025-01-05,O13640_0_1099,False
51061,FB13661_0_1334,13661,2025-01-30,O13661_0_8223,False
51221,FB13695_0_5437,13695,2025-01-09,O13695_0_4453,False
51411,,13743,2025-01-03,O13743_0_4589,True
51473,FB13761_0_9389,13761,2025-02-22,O13761_0_5397,False
51492,FB13768_0_7536,13768,2025-01-17,O13768_0_3726,False
52640,FB14080_0_8475,14080,2025-02-22,O14080_0_4401,True
52704,FB14094_0_2207,14094,2025-02-16,O14094_0_3322,True
52818,FB14123_0_5025,14123,2025-01-25,O14123_0_7295,True
53126,FB14198_0_6382,14198,2025-01-28,O14198_0_5583,True
53245,,14223,2025-01-21,O14223_0_3440,True
53391,,14262,2025-02-02,O14262_0_7598,True
53418,FB14273_0_2393,14273,2025-01-29,O14273_0_6396,False
53452,FB14282_0_4836,14282,2025-01-13,O14282_0_4726,False
53531,FB14303_0_3832,14303,2025-01-30,O14303_0_2651,False
53862,FB14390_1_1180,14390,2025-02-21,O14390_1_4611,False
53976,FB14425_0_6549,14425,2025-02-14,O14425_0_9912,False
54210,FB14486_1_2815,14486,2025-01-10,O14486_1_3451,True
54238,FB14493_0_9349,14493,2025-02-24,,True
54310,FB14508_0_5841,14508,2025-01-08,O14508_0_1252,True
54352,FB14519_0_4854,14519,2025-01-22,O14519_0_7990,False
54792,FB14624_0_9829,14624,2025-01-14,O14624_0_6969,False
54877,FB14645_0_1013,14645,2025-02-21,O14645_0_5836,False
55035,FB14689_0_6424,14689,2025-01-24,O14689_0_8430,False
55319,FB14760_1_1503,14760,2025-02-06,O14760_1_5723,True
55492,FB14801_0_1309,14801,2025-02-02,O14801_0_9205,False
56021,FB14954_1_8723,14954,2025-01-10,O14954_1_8131,False
56108,FB14977_0_8786,14977,2025-02-04,O14977_0_1039,False
56868,FB15182_0_8687,15182,2025-02-09,O15182_0_5700,True
57222,FB15269_0_5303,15269,2025-01-27,O15269_0_9719,False
57380,FB15310_0_4931,15310,2025-01-27,O15310_0_2835,False
57874,FB15449_0_3375,15449,2025-02-16,O15449_0_1317,False
57914,FB15459_0_9600,15459,2025-02-04,O15459_0_6795,True
58286,FB15563_0_7325,15563,2025-01-05,O15563_0_9078,False
59074,FB15784_0_5774,15784,2025-02-13,O15784_0_5164,True
59208,FB15824_0_3892,15824,2025-01-29,O15824_0_6382,False
59896,FB16015_1_6726,16015,2025-02-09,O16015_1_6389,False
59931,FB16023_0_7650,16023,2025-01-04,O16023_0_2240,False
59998,FB16032_0_3217,16032,2025-01-09,O16032_0_9500,True
60128,FB16066_0_3868,16066,2025-02-17,O16066_0_4532,False
60181,FB16079_0_6250,16079,2025-02-18,,True
60388,FB16129_0_2749,16129,2025-01-12,O16129_0_5918,False
60527,,16169,2025-02-04,O16169_0_1010,False
60626,FB16199_0_7043,16199,2025-01-09,O16199_0_4668,True
60674,FB16209_0_3025,16209,2025-02-27,O16209_0_2969,False
60852,FB16254_0_5069,16254,2025-01-31,,True
61199,,16335,2025-02-14,O16335_0_9404,False
61233,FB16345_0_1972,16345,2025-01-30,O16345_0_6329,True
61444,FB16403_0_4525,16403,2025-01-25,O16403_0_5755,True
61540,FB16428_1_4540,16428,2025-01-15,O16428_1_3913,True
61671,FB16463_0_1787,16463,2025-01-11,,True
61838,FB16508_0_7054,16508,2025-02-20,O16508_0_6851,True
62034,FB16549_0_1739,16549,2025-01-11,O16549_0_6267,False
62276,FB16605_0_8169,16605,2025-02-09,O16605_0_7982,False
62293,FB16608_0_9121,16608,2025-02-27,O16608_0_2858,True
62336,FB16619_0_1732,16619,2025-01-16,O16619_0_9612,False
62372,FB16624_0_3934,16624,2025-02-25,O16624_0_9276,False
62531,FB16668_0_4537,16668,2025-01-18,O16668_0_5819,False
62801,FB16740_0_4752,16740,2025-02-20,O16740_0_5322,False
63224,FB16849_0_8189,16849,2025-01-11,O16849_0_8159,False
63747,FB16976_0_4766,16976,2025-01-06,O16976_0_9764,True
64512,FB17187_1_5758,17187,2025-02-01,O17187_1_2906,False
64692,FB17238_0_9888,17238,2025-01-23,O17238_0_6455,False
65020,FB17324_1_4595,17324,2025-01-07,O17324_1_6869,False
65081,FB17343_1_2483,17343,2025-02-21,O17343_1_9311,False
65145,FB17357_0_1071,17357,2025-02-11,O17357_0_1679,False
65498,FB17462_0_7913,17462,2025-01-24,O17462_0_5705,False
65570,FB17476_0_4518,17476,2025-01-10,O17476_0_4483,False
65633,FB17488_2_5136,17488,2025-01-22,O17488_2_7538,False
65939,FB17577_0_7889,17577,2025-01-10,O17577_0_5960,False
66348,FB17687_0_3462,17687,2025-01-03,O17687_0_7652,False
66420,FB17704_0_9830,17704,2025-01-19,O17704_0_3574,False
66754,FB17789_0_4540,17789,2025-01-21,O17789_0_1756,False
66843,FB17816_0_8941,17816,2025-02-22,O17816_0_7456,False
66882,FB17827_0_3200,17827,2025-01-20,O17827_0_6099,True
66918,FB17835_0_3852,17835,2025-01-30,O17835_0_2650,True
66992,FB17851_1_5676,17851,2025-02-07,O17851_1_5436,False
67454,FB17974_0_6379,17974,2025-01-11,O17974_0_5857,False
67521,FB17988_0_3913,17988,2025-01-25,O17988_0_5268,False
67579,FB18005_0_9582,18005,2025-01-30,O18005_0_9289,False
67655,FB18021_0_9132,18021,2025-01-26,O18021_0_6384,False
67924,FB18096_0_3402,18096,2025-02-26,O18096_0_3940,True
67968,FB18107_0_1900,18107,2025-02-06,O18107_0_2422,False
68063,FB18135_0_8411,18135,2025-02-22,O18135_0_9174,True
68142,FB18151_0_1132,18151,2025-02-27,O18151_0_2815,False
68257,FB18183_0_7350,18183,2025-01-31,O18183_0_2797,False
69001,FB18374_0_6180,18374,2025-02-06,O18374_0_6672,True
69155,FB18416_0_9073,18416,2025-01-02,O18416_0_3612,False
69205,FB18425_0_2310,18425,2025-01-28,O18425_0_6746,True
69246,FB18435_0_5129,18435,2025-02-06,O18435_0_1970,True
69539,FB18515_1_3524,18515,2025-02-22,O18515_1_9388,False
70076,FB18655_0_7114,18655,2025-01-30,O18655_0_2117,False
70699,FB18835_0_1006,18835,2025-01-07,O18835_0_6973,False
70733,FB18844_0_8254,18844,2025-01-16,O18844_0_4799,False
70781,FB18857_0_6095,18857,2025-01-15,O18857_0_2096,False
70797,FB18862_0_7941,18862,2025-01-26,O18862_0_1899,False
70908,FB18890_0_1187,18890,2025-02-18,O18890_0_2035,False
71048,FB18925_0_7957,18925,2025-01-15,O18925_0_6925,False
71177,FB18958_0_9580,18958,2025-01-28,O18958_0_4245,True
71222,FB18970_0_4271,18970,2025-02-22,O18970_0_5431,False
71380,FB19008_0_2775,19008,2025-01-22,O19008_0_7042,False
71468,FB19031_0_4263,19031,2025-01-10,O19031_0_9399,True
71716,FB19101_0_5905,19101,2025-02-16,O19101_0_5088,False
71931,FB19155_0_6022,19155,2025-02-18,O19155_0_1291,False
72014,FB19179_0_1495,19179,2025-02-16,O19179_0_1053,True
72322,,19264,2025-02-09,,
72437,FB19294_0_3783,19294,2025-02-09,O19294_0_3529,True
73240,FB19520_0_4773,19520,2025-02-15,O19520_0_6630,False
73253,FB19523_0_3259,19523,2025-01-06,O19523_0_6563,True
73784,,19657,2025-02-25,O19657_1_7235,False
73956,FB19703_0_6375,19703,2025-02-27,O19703_0_9359,False
74048,FB19732_0_3909,19732,2025-02-16,O19732_0_7574,False
74108,FB19746_0_8141,19746,2025-01-17,O19746_0_1299,True
74319,FB19794_0_3681,19794,2025-01-12,O19794_0_7561,False
74354,FB19803_0_2936,19803,2025-02-27,O19803_0_4542,False
74507,FB19848_0_1884,19848,2025-02-18,O19848_0_2590,True
74564,FB19863_0_2810,19863,2025-01-02,O19863_0_7236,False
74577,FB19866_0_2427,19866,2025-02-21,O19866_0_6763,False
74686,FB19892_0_1903,19892,2025-02-20,O19892_0_3159,False
75266,FB20056_1_9550,20056,2025-02-14,O20056_1_4267,False
75274,,20058,2025-02-12,O20058_0_1297,False
75357,FB20076_0_2845,20076,2025-02-03,O20076_0_7886,False
75439,FB20096_1_6477,20096,2025-02-17,O20096_1_5547,True
75483,FB20106_0_5364,20106,2025-02-28,O20106_0_7041,False
75967,FB20236_0_3298,20236,2025-02-04,O20236_0_1711,False
76548,FB20391_0_8731,20391,2025-01-04,O20391_0_2150,False
76753,FB20443_0_8703,20443,2025-02-19,O20443_0_6694,False
76772,FB20447_0_1410,20447,2025-01-09,O20447_0_1907,True
76919,FB20485_0_8289,20485,2025-01-16,O20485_0_6801,True
77449,FB20629_0_9838,20629,2025-02-26,O20629_0_8399,False
78081,FB20794_0_6989,20794,2025-02-19,O20794_0_4434,True
78777,FB20977_0_8719,20977,2025-02-27,O20977_0_4484,False
78811,FB20986_1_9604,20986,2025-01-18,O20986_1_9229,False
78905,FB21013_0_7594,21013,2025-01-16,O21013_0_9173,True
79021,FB21046_0_9697,21046,2025-01-26,O21046_0_3361,False
79044,FB21051_0_9400,21051,2025-01-04,O21051_0_9986,False
79129,FB21072_1_8109,21072,2025-02-27,O21072_1_4315,False
79372,FB21128_0_5244,21128,2025-01-15,O21128_0_1303,True
79707,FB21222_0_3995,21222,2025-01-20,O21222_0_7160,True
79768,FB21237_1_2505,21237,2025-02-09,O21237_1_8415,False
79938,FB21286_0_6308,21286,2025-02-02,O21286_0_6091,False
80042,FB21311_0_1409,21311,2025-02-26,O21311_0_2080,True
80077,FB21319_0_1165,21319,2025-01-12,O21319_0_3371,True
80260,FB21371_0_9672,21371,2025-01-28,O21371_0_6528,False
80916,FB21545_0_4368,21545,2025-02-04,O21545_0_9496,True
80931,FB21549_0_6940,21549,2025-02-18,O21549_0_7730,True
80960,FB21555_0_6863,21555,2025-02-13,O21555_0_1882,False
81083,FB21592_0_7004,21592,2025-01-25,O21592_0_7908,False
81262,FB21643_0_8232,21643,2025-02-17,O21643_0_1156,False
81312,FB21655_0_5608,21655,2025-02-07,O21655_0_4323,False
81554,FB21720_1_7723,21720,2025-02-07,O21720_1_9891,True
81568,FB21723_0_4291,21723,2025-01-11,O21723_0_1685,True
81615,FB21734_0_3699,21734,2025-02-17,O21734_0_3241,True
