,user_id,hashed_user_id,exp_group,event_date
239114,63239,63239,B,2025-01-01
85520,22740,22740,A,2025-01-01
294964,77955,77955,B,2025-01-01
311234,82283,82283,B,2025-01-01
153971,40844,40844,A,2025-01-01
97710,25969,25969,B,2025-01-01
207005,54865,54865,B,2025-01-01
135739,36050,36050,A,2025-01-01
323174,85416,85416,A,2025-01-01
45219,12099,12099,B,2025-01-01
114415,30448,30448,A,2025-01-01
135777,36062,36062,A,2025-01-01
288862,76299,76299,B,2025-01-01
9940,2578,2578,A,2025-01-01
244414,64607,64607,B,2025-01-01
114391,30441,30441,B,2025-01-01
20360,5383,5383,B,2025-01-01
239101,63235,63235,B,2025-01-01
312443,82595,82595,B,2025-01-01
81753,21764,21764,A,2025-01-01
9860,2555,2555,B,2025-01-01
59459,15891,15891,B,2025-01-01
124177,33029,33029,B,2025-01-01
36635,9759,9759,B,2025-01-01
9911,2567,2567,B,2025-01-01
188112,49872,49872,A,2025-01-01
9927,2571,2571,B,2025-01-01
36611,9753,9753,B,2025-01-01
197594,52361,52361,B,2025-01-01
9948,2580,2580,A,2025-01-01
146184,38804,38804,A,2025-01-01
211881,56127,56127,B,2025-01-01
211884,56128,56128,A,2025-01-01
37101,9889,9889,B,2025-01-01
299625,79187,79187,B,2025-01-01
145751,38690,38690,A,2025-01-01
127148,33812,33812,A,2025-01-01
136097,36144,36144,A,2025-01-01
118774,31579,31579,B,2025-01-01
236083,62468,62468,A,2025-01-01
252035,66633,66633,B,2025-01-01
222575,58899,58899,B,2025-01-01
69844,18597,18597,B,2025-01-01
187518,49716,49716,A,2025-01-01
244575,64651,64651,B,2025-01-01
154447,40976,40976,A,2025-01-01
346174,91474,91474,A,2025-01-01
304909,80600,80600,A,2025-01-01
258288,68283,68283,B,2025-01-01
81367,21672,21672,A,2025-01-01
101798,27069,27069,B,2025-01-01
31052,8268,8268,A,2025-01-01
166368,44078,44078,A,2025-01-01
58720,15678,15678,A,2025-01-01
58727,15679,15679,B,2025-01-01
250693,66273,66273,B,2025-01-01
250695,66274,66274,A,2025-01-01
70055,18651,18651,B,2025-01-01
85850,22830,22830,A,2025-01-01
316864,83746,83746,A,2025-01-01
81239,21638,21638,A,2025-01-01
187386,49679,49679,B,2025-01-01
270769,71563,71563,B,2025-01-01
70027,18644,18644,A,2025-01-01
314302,83075,83075,B,2025-01-01
95256,25314,25314,A,2025-01-01
320575,84734,84734,A,2025-01-01
326862,86398,86398,A,2025-01-01
309477,81840,81840,A,2025-01-01
244561,64647,64647,B,2025-01-01
304935,80606,80606,A,2025-01-01
353904,93516,93516,A,2025-01-01
69496,18508,18508,A,2025-01-01
299436,79137,79137,B,2025-01-01
81505,21711,21711,B,2025-01-01
91811,24404,24404,A,2025-01-01
198074,52488,52488,A,2025-01-01
20677,5473,5473,B,2025-01-01
305015,80625,80625,B,2025-01-01
252048,66637,66637,B,2025-01-01
20644,5465,5465,B,2025-01-01
154295,40934,40934,A,2025-01-01
118659,31551,31551,B,2025-01-01
69443,18494,18494,A,2025-01-01
146158,38797,38797,B,2025-01-01
106835,28428,28428,A,2025-01-01
162383,43043,43043,B,2025-01-01
81490,21707,21707,B,2025-01-01
69566,18523,18523,B,2025-01-01
178396,47272,47272,A,2025-01-01
9105,2357,2357,B,2025-01-01
263696,69736,69736,A,2025-01-01
9111,2359,2359,B,2025-01-01
340429,89962,89962,A,2025-01-01
106960,28459,28459,B,2025-01-01
346132,91466,91466,A,2025-01-01
9142,2368,2368,A,2025-01-01
294638,77863,77863,B,2025-01-01
340498,89977,89977,B,2025-01-01
154362,40953,40953,B,2025-01-01
219155,57997,57997,B,2025-01-01
95305,25328,25328,A,2025-01-01
81455,21702,21702,A,2025-01-01
211923,56139,56139,B,2025-01-01
239019,63215,63215,B,2025-01-01
187719,49763,49763,B,2025-01-01
309471,81838,81838,A,2025-01-01
248008,65540,65540,A,2025-01-01
80694,21491,21491,B,2025-01-01
209375,55470,55470,A,2025-01-01
323827,85589,85589,B,2025-01-01
248382,65627,65627,B,2025-01-01
5704,1453,1453,B,2025-01-01
338769,89509,89509,B,2025-01-01
5714,1456,1456,A,2025-01-01
338786,89514,89514,A,2025-01-01
246679,65212,65212,A,2025-01-01
156208,41449,41449,B,2025-01-01
143355,38068,38068,A,2025-01-01
350620,92630,92630,A,2025-01-01
278164,73480,73480,A,2025-01-01
300927,79550,79550,A,2025-01-01
294000,77676,77676,A,2025-01-01
209596,55528,55528,A,2025-01-01
94592,25139,25139,B,2025-01-01
308231,81498,81498,A,2025-01-01
156141,41434,41434,A,2025-01-01
172052,45578,45578,A,2025-01-01
220507,58334,58334,A,2025-01-01
281116,74298,74298,A,2025-01-01
185128,49087,49087,B,2025-01-01
5563,1411,1411,B,2025-01-01
223665,59199,59199,B,2025-01-01
347406,91807,91807,B,2025-01-01
234803,62128,62128,A,2025-01-01
143192,38030,38030,A,2025-01-01
215296,57005,57005,B,2025-01-01
375441,99273,99273,B,2025-01-01
288115,76109,76109,B,2025-01-01
246673,65210,65210,A,2025-01-01
38681,10319,10319,B,2025-01-01
137078,36416,36416,A,2025-01-01
313784,82948,82948,A,2025-01-01
156248,41462,41462,A,2025-01-01
357230,94430,94430,A,2025-01-01
361940,95696,95696,A,2025-01-01
80065,21317,21317,B,2025-01-01
108335,28843,28843,B,2025-01-01
5982,1529,1529,B,2025-01-01
241776,63937,63937,B,2025-01-01
285452,75413,75413,B,2025-01-01
86661,23036,23036,A,2025-01-01
263577,69712,69712,A,2025-01-01
86652,23033,23033,B,2025-01-01
361823,95664,95664,A,2025-01-01
234760,62117,62117,B,2025-01-01
227695,60248,60248,A,2025-01-01
300828,79518,79518,A,2025-01-01
350704,92652,92652,A,2025-01-01
89166,23700,23700,A,2025-01-01
80146,21339,21339,B,2025-01-01
365561,96638,96638,A,2025-01-01
86640,23029,23029,B,2025-01-01
143519,38109,38109,B,2025-01-01
375295,99232,99232,A,2025-01-01
179330,47546,47546,A,2025-01-01
113114,30078,30078,A,2025-01-01
72523,19323,19323,B,2025-01-01
119633,31803,31803,B,2025-01-01
347340,91784,91784,A,2025-01-01
269516,71249,71249,B,2025-01-01
231651,61299,61299,B,2025-01-01
131680,35004,35004,A,2025-01-01
5881,1502,1502,A,2025-01-01
357293,94449,94449,B,2025-01-01
113067,30067,30067,B,2025-01-01
300867,79531,79531,B,2025-01-01
285458,75417,75417,B,2025-01-01
223627,59188,59188,A,2025-01-01
51003,13646,13646,A,2025-01-01
248375,65625,65625,B,2025-01-01
113107,30077,30077,B,2025-01-01
89143,23694,23694,A,2025-01-01
248424,65641,65641,B,2025-01-01
201318,53342,53342,A,2025-01-01
72853,19411,19411,B,2025-01-01
156678,41571,41571,B,2025-01-01
347630,91858,91858,A,2025-01-01
201661,53431,53431,B,2025-01-01
220087,58240,58240,A,2025-01-01
98492,26168,26168,A,2025-01-01
5050,1281,1281,B,2025-01-01
338470,89429,89429,B,2025-01-01
226507,59937,59937,B,2025-01-01
330187,87254,87254,A,2025-01-01
285640,75463,75463,B,2025-01-01
184951,49037,49037,B,2025-01-01
56389,15049,15049,B,2025-01-01
142834,37932,37932,A,2025-01-01
278375,73540,73540,A,2025-01-01
309793,81921,81921,B,2025-01-01
179677,47640,47640,A,2025-01-01
357067,94388,94388,A,2025-01-01
293731,77605,77605,B,2025-01-01
231503,61260,61260,A,2025-01-01
73495,19591,19591,B,2025-01-01
269148,71157,71157,B,2025-01-01
43178,11545,11545,B,2025-01-01
108768,28967,28967,B,2025-01-01
23981,6359,6359,B,2025-01-01
209667,55550,55550,A,2025-01-01
241569,63884,63884,A,2025-01-01
161047,42706,42706,A,2025-01-01
269180,71165,71165,B,2025-01-01
215157,56976,56976,A,2025-01-01
142666,37890,37890,A,2025-01-01
184851,49006,49006,A,2025-01-01
142672,37891,37891,B,2025-01-01
201729,53449,53449,B,2025-01-01
137320,36479,36479,B,2025-01-01
171828,45517,45517,B,2025-01-01
73168,19498,19498,A,2025-01-01
237616,62867,62867,B,2025-01-01
156548,41538,41538,A,2025-01-01
29621,7898,7898,A,2025-01-01
161118,42724,42724,A,2025-01-01
43487,11628,11628,A,2025-01-01
354652,93726,93726,A,2025-01-01
307167,81224,81224,A,2025-01-01
56648,15116,15116,A,2025-01-01
278259,73511,73511,B,2025-01-01
23504,6239,6239,B,2025-01-01
304350,80443,80443,B,2025-01-01
143120,38011,38011,B,2025-01-01
56662,15122,15122,A,2025-01-01
231607,61287,61287,B,2025-01-01
206288,54680,54680,A,2025-01-01
319860,84542,84542,A,2025-01-01
124880,33212,33212,A,2025-01-01
350559,92612,92612,A,2025-01-01
179523,47599,47599,B,2025-01-01
143064,37999,37999,B,2025-01-01
245337,64858,64858,A,2025-01-01
354770,93753,93753,B,2025-01-01
201553,53403,53403,B,2025-01-01
293788,77621,77621,B,2025-01-01
137248,36459,36459,B,2025-01-01
179568,47611,47611,B,2025-01-01
246637,65198,65198,A,2025-01-01
56552,15091,15091,B,2025-01-01
246736,65225,65225,B,2025-01-01
375618,99321,99321,B,2025-01-01
291416,76997,76997,B,2025-01-01
43378,11598,11598,A,2025-01-01
375611,99319,99319,B,2025-01-01
29586,7887,7887,B,2025-01-01
317630,83938,83938,A,2025-01-01
23610,6270,6270,A,2025-01-01
167703,44419,44419,B,2025-01-01
328087,86740,86740,A,2025-01-01
281405,74378,74378,A,2025-01-01
6119,1565,1565,B,2025-01-01
80156,21343,21343,B,2025-01-01
238748,63153,63153,B,2025-01-01
113380,30159,30159,B,2025-01-01
7005,1794,1794,A,2025-01-01
223582,59174,59174,A,2025-01-01
7014,1797,1797,B,2025-01-01
57551,15365,15365,B,2025-01-01
317304,83857,83857,B,2025-01-01
241921,63973,63973,B,2025-01-01
179042,47465,47465,B,2025-01-01
270064,71387,71387,B,2025-01-01
80512,21436,21436,A,2025-01-01
179034,47463,47463,B,2025-01-01
113409,30166,30166,A,2025-01-01
241928,63975,63975,B,2025-01-01
71478,19034,19034,A,2025-01-01
172624,45739,45739,B,2025-01-01
374474,99016,99016,A,2025-01-01
71572,19060,19060,A,2025-01-01
320214,84630,84630,A,2025-01-01
304522,80491,80491,B,2025-01-01
334489,88406,88406,A,2025-01-01
365852,96722,96722,A,2025-01-01
234653,62091,62091,B,2025-01-01
22534,5972,5972,A,2025-01-01
129449,34427,34427,B,2025-01-01
206529,54737,54737,B,2025-01-01
57495,15348,15348,A,2025-01-01
346971,91687,91687,B,2025-01-01
98207,26094,26094,A,2025-01-01
161594,42839,42839,B,2025-01-01
126941,33745,33745,B,2025-01-01
144401,38335,38335,B,2025-01-01
30235,8058,8058,A,2025-01-01
227754,60264,60264,A,2025-01-01
121721,32384,32384,A,2025-01-01
374648,99063,99063,B,2025-01-01
57598,15378,15378,A,2025-01-01
98168,26085,26085,B,2025-01-01
144731,38424,38424,A,2025-01-01
291131,76917,76917,B,2025-01-01
22170,5876,5876,A,2025-01-01
263652,69725,69725,B,2025-01-01
155366,41217,41217,B,2025-01-01
288484,76196,76196,A,2025-01-01
277514,73313,73313,B,2025-01-01
227202,60112,60112,A,2025-01-01
231870,61363,61363,B,2025-01-01
366026,96766,96766,A,2025-01-01
199757,52932,52932,A,2025-01-01
265213,70132,70132,A,2025-01-01
186408,49424,49424,A,2025-01-01
219975,58211,58211,B,2025-01-01
92109,24478,24478,A,2025-01-01
285135,75334,75334,A,2025-01-01
155592,41276,41276,A,2025-01-01
230126,60890,60890,A,2025-01-01
57774,15423,15423,B,2025-01-01
199955,52984,52984,A,2025-01-01
22324,5917,5917,B,2025-01-01
86365,22966,22966,A,2025-01-01
354305,93633,93633,B,2025-01-01
228912,60582,60582,A,2025-01-01
199919,52976,52976,A,2025-01-01
155527,41257,41257,B,2025-01-01
37879,10103,10103,B,2025-01-01
329932,87188,87188,A,2025-01-01
246810,65240,65240,A,2025-01-01
57711,15406,15406,A,2025-01-01
44276,11839,11839,B,2025-01-01
119260,31708,31708,A,2025-01-01
237366,62800,62800,A,2025-01-01
129406,34415,34415,B,2025-01-01
281359,74369,74369,B,2025-01-01
288325,76165,76165,B,2025-01-01
30162,8040,8040,A,2025-01-01
339329,89667,89667,B,2025-01-01
269753,71312,71312,A,2025-01-01
309626,81874,81874,A,2025-01-01
288290,76155,76155,B,2025-01-01
108107,28783,28783,B,2025-01-01
213086,56454,56454,A,2025-01-01
143893,38206,38206,A,2025-01-01
43915,11745,11745,B,2025-01-01
200609,53161,53161,B,2025-01-01
143898,38208,38208,A,2025-01-01
350733,92661,92661,B,2025-01-01
281250,74336,74336,A,2025-01-01
172429,45688,45688,A,2025-01-01
108093,28777,28777,B,2025-01-01
161418,42805,42805,B,2025-01-01
354447,93673,93673,B,2025-01-01
288287,76154,76154,A,2025-01-01
300663,79472,79472,A,2025-01-01
89193,23708,23708,A,2025-01-01
350719,92657,92657,B,2025-01-01
213042,56445,56445,B,2025-01-01
259482,68587,68587,B,2025-01-01
86616,23023,23023,B,2025-01-01
119579,31792,31792,A,2025-01-01
327078,86471,86471,B,2025-01-01
124775,33185,33185,B,2025-01-01
6251,1598,1598,A,2025-01-01
98299,26118,26118,A,2025-01-01
339033,89583,89583,B,2025-01-01
255585,67562,67562,A,2025-01-01
43831,11724,11724,A,2025-01-01
260937,68992,68992,A,2025-01-01
172383,45674,45674,A,2025-01-01
374921,99138,99138,A,2025-01-01
121655,32369,32369,B,2025-01-01
218969,57944,57944,A,2025-01-01
57291,15287,15287,B,2025-01-01
237472,62829,62829,B,2025-01-01
43963,11757,11757,B,2025-01-01
300562,79444,79444,A,2025-01-01
144162,38278,38278,A,2025-01-01
269907,71347,71347,B,2025-01-01
38169,10183,10183,B,2025-01-01
357523,94512,94512,A,2025-01-01
331500,87600,87600,A,2025-01-01
144225,38290,38290,A,2025-01-01
71808,19125,19125,B,2025-01-01
200288,53077,53077,B,2025-01-01
320141,84616,84616,A,2025-01-01
44055,11783,11783,B,2025-01-01
131921,35057,35057,B,2025-01-01
347033,91705,91705,B,2025-01-01
374674,99069,99069,B,2025-01-01
234677,62095,62095,B,2025-01-01
161473,42818,42818,A,2025-01-01
294204,77731,77731,B,2025-01-01
107997,28751,28751,B,2025-01-01
374742,99087,99087,B,2025-01-01
374808,99108,99108,A,2025-01-01
317395,83883,83883,B,2025-01-01
200513,53134,53134,A,2025-01-01
22773,6042,6042,A,2025-01-01
57328,15298,15298,A,2025-01-01
6525,1668,1668,A,2025-01-01
294188,77727,77727,B,2025-01-01
261821,69249,69249,B,2025-01-01
185844,49269,49269,B,2025-01-01
339275,89645,89645,B,2025-01-01
264469,69943,69943,B,2025-01-01
308278,81510,81510,A,2025-01-01
121686,32375,32375,B,2025-01-01
354425,93666,93666,A,2025-01-01
108012,28756,28756,A,2025-01-01
256398,67778,67778,A,2025-01-01
144076,38258,38258,A,2025-01-01
323163,85414,85414,A,2025-01-01
102103,27160,27160,A,2025-01-01
132826,35285,35285,B,2025-01-01
194155,51464,51464,A,2025-01-01
149451,39654,39654,A,2025-01-01
297531,78626,78626,A,2025-01-01
149458,39657,39657,B,2025-01-01
273231,72200,72200,A,2025-01-01
265750,70266,70266,A,2025-01-01
16919,4468,4468,A,2025-01-01
151458,40184,40184,A,2025-01-01
62643,16703,16703,B,2025-01-01
352093,93041,93041,B,2025-01-01
151446,40181,40181,B,2025-01-01
315793,83467,83467,B,2025-01-01
243425,64376,64376,A,2025-01-01
352097,93042,93042,A,2025-01-01
16860,4453,4453,B,2025-01-01
342822,90600,90600,A,2025-01-01
362983,95959,95959,B,2025-01-01
116151,30894,30894,A,2025-01-01
83154,22134,22134,A,2025-01-01
13715,3594,3594,A,2025-01-01
211257,55966,55966,A,2025-01-01
46792,12517,12517,B,2025-01-01
265715,70259,70259,B,2025-01-01
62525,16667,16667,B,2025-01-01
65448,17446,17446,A,2025-01-01
149389,39634,39634,A,2025-01-01
352047,93026,93026,A,2025-01-01
62535,16670,16670,A,2025-01-01
236773,62647,62647,B,2025-01-01
233671,61826,61826,A,2025-01-01
151606,40220,40220,A,2025-01-01
282722,74709,74709,B,2025-01-01
273212,72194,72194,A,2025-01-01
282731,74711,74711,B,2025-01-01
261319,69107,69107,B,2025-01-01
90995,24181,24181,B,2025-01-01
342937,90630,90630,A,2025-01-01
283483,74913,74913,B,2025-01-01
311758,82422,82422,A,2025-01-01
343015,90649,90649,B,2025-01-01
306008,80905,80905,B,2025-01-01
191360,50711,50711,B,2025-01-01
321854,85069,85069,B,2025-01-01
329286,87027,87027,B,2025-01-01
117359,31214,31214,A,2025-01-01
175506,46503,46503,B,2025-01-01
228013,60332,60332,A,2025-01-01
14249,3738,3738,A,2025-01-01
216230,57225,57225,B,2025-01-01
305979,80898,80898,A,2025-01-01
149755,39735,39735,B,2025-01-01
252634,66799,66799,B,2025-01-01
207682,55047,55047,B,2025-01-01
369014,97549,97549,B,2025-01-01
289662,76516,76516,A,2025-01-01
103530,27539,27539,B,2025-01-01
83268,22168,22168,A,2025-01-01
233032,61662,61662,A,2025-01-01
312024,82484,82484,A,2025-01-01
326227,86237,86237,B,2025-01-01
342963,90636,90636,A,2025-01-01
16820,4441,4441,B,2025-01-01
282769,74722,74722,A,2025-01-01
211297,55975,55975,B,2025-01-01
321844,85065,85065,B,2025-01-01
309039,81721,81721,B,2025-01-01
359413,95025,95025,B,2025-01-01
254560,67294,67294,A,2025-01-01
274793,72608,72608,A,2025-01-01
62817,16744,16744,A,2025-01-01
221661,58645,58645,B,2025-01-01
34470,9185,9185,B,2025-01-01
297384,78588,78588,A,2025-01-01
211611,56052,56052,A,2025-01-01
65532,17469,17469,B,2025-01-01
315849,83481,83481,B,2025-01-01
152088,40344,40344,A,2025-01-01
165196,43756,43756,A,2025-01-01
82852,22062,22062,A,2025-01-01
148940,39520,39520,A,2025-01-01
272943,72114,72114,A,2025-01-01
133679,35503,35503,B,2025-01-01
117654,31289,31289,B,2025-01-01
117646,31288,31288,A,2025-01-01
263865,69788,69788,A,2025-01-01
152012,40326,40326,A,2025-01-01
17630,4641,4641,B,2025-01-01
96137,25556,25556,A,2025-01-01
17614,4637,4637,B,2025-01-01
207502,55004,55004,A,2025-01-01
321666,85015,85015,B,2025-01-01
133626,35492,35492,A,2025-01-01
13306,3472,3472,A,2025-01-01
163583,43345,43345,B,2025-01-01
329006,86958,86958,A,2025-01-01
306156,80957,80957,B,2025-01-01
328978,86950,86950,A,2025-01-01
316041,83537,83537,B,2025-01-01
66142,17631,17631,B,2025-01-01
177133,46940,46940,A,2025-01-01
247829,65498,65498,A,2025-01-01
96060,25534,25534,A,2025-01-01
226725,59991,59991,B,2025-01-01
152187,40363,40363,B,2025-01-01
117711,31305,31305,B,2025-01-01
194864,51657,51657,B,2025-01-01
61890,16517,16517,B,2025-01-01
32724,8708,8708,A,2025-01-01
247827,65497,65497,B,2025-01-01
297764,78700,78700,A,2025-01-01
84555,22498,22498,A,2025-01-01
266142,70372,70372,A,2025-01-01
222825,58960,58960,A,2025-01-01
134866,35819,35819,B,2025-01-01
325845,86134,86134,A,2025-01-01
344405,91021,91021,B,2025-01-01
48286,12921,12921,B,2025-01-01
103348,27487,27487,B,2025-01-01
65734,17513,17513,B,2025-01-01
149187,39578,39578,A,2025-01-01
297643,78661,78661,B,2025-01-01
176724,46840,46840,A,2025-01-01
17286,4553,4553,B,2025-01-01
13591,3560,3560,A,2025-01-01
83060,22113,22113,B,2025-01-01
104890,27909,27909,B,2025-01-01
65597,17483,17483,B,2025-01-01
65582,17479,17479,B,2025-01-01
65552,17474,17474,A,2025-01-01
163645,43365,43365,B,2025-01-01
190852,50585,50585,B,2025-01-01
315934,83505,83505,B,2025-01-01
326279,86254,86254,A,2025-01-01
282529,74663,74663,B,2025-01-01
243594,64416,64416,A,2025-01-01
65870,17560,17560,A,2025-01-01
225594,59704,59704,A,2025-01-01
219361,58056,58056,A,2025-01-01
176838,46868,46868,A,2025-01-01
127881,34012,34012,A,2025-01-01
274746,72595,72595,B,2025-01-01
208428,55229,55229,B,2025-01-01
296151,78246,78246,A,2025-01-01
163632,43361,43361,B,2025-01-01
332464,87871,87871,B,2025-01-01
90385,24013,24013,B,2025-01-01
175177,46414,46414,A,2025-01-01
273087,72155,72155,B,2025-01-01
305524,80776,80776,A,2025-01-01
133759,35526,35526,A,2025-01-01
103152,27431,27431,B,2025-01-01
84143,22395,22395,B,2025-01-01
305974,80897,80897,B,2025-01-01
150863,40024,40024,A,2025-01-01
216409,57271,57271,B,2025-01-01
150853,40021,40021,B,2025-01-01
352465,93141,93141,B,2025-01-01
47423,12684,12684,A,2025-01-01
150463,39914,39914,A,2025-01-01
225416,59662,59662,A,2025-01-01
34014,9049,9049,B,2025-01-01
104126,27698,27698,A,2025-01-01
